date,instrument,instrument_type,value,value_stressed
2019-12-31,IN0020100015CGS,D,4.648415706935,4.648415706935
2019-12-30,IN0020100015CGS,D,4.654528055608,4.654528055608
2019-12-27,IN0020100015CGS,D,4.707461588856,4.707461588856
2019-12-26,IN0020100015CGS,D,4.363383312713,4.363383312713
2019-12-24,IN0020100015CGS,D,4.794371575015,4.794371575015
2019-12-23,IN0020100015CGS,D,4.867045703492,4.867045703492
2019-12-20,IN0020100015CGS,D,4.538259354024,4.538259354024
2019-12-19,IN0020100015CGS,D,4.473188459677,4.473188459677
2019-12-18,IN0020100015CGS,D,4.578190252374,4.578190252374
2019-12-17,IN0020100015CGS,D,4.752976030077,4.752976030077
2019-12-16,IN0020100015CGS,D,4.505900256012,4.505900256012
2019-12-13,IN0020100015CGS,D,4.952556802936,4.952556802936
2019-12-12,IN0020100015CGS,D,4.772058219773,4.772058219773
2019-12-11,IN0020100015CGS,D,4.571016150346,4.571016150346
2019-12-10,IN0020100015CGS,D,4.916684680941,4.916684680941
2019-12-09,IN0020100015CGS,D,4.372374128708,4.372374128708
2019-12-06,IN0020100015CGS,D,4.850288262784,4.850288262784
2019-12-05,IN0020100015CGS,D,4.552144293291,4.552144293291
2019-12-04,IN0020100015CGS,D,4.393141377601,4.393141377601
2019-12-03,IN0020100015CGS,D,4.320604912549,4.320604912549
2019-12-02,IN0020100015CGS,D,4.723348122451,4.723348122451
2019-11-29,IN0020100015CGS,D,4.962659598045,4.962659598045
2019-11-28,IN0020100015CGS,D,4.820930506347,4.820930506347
2019-11-27,IN0020100015CGS,D,4.448669737643,4.448669737643
2019-11-26,IN0020100015CGS,D,4.664756727663,4.664756727663
2019-11-25,IN0020100015CGS,D,4.810824004356,4.810824004356
2019-11-22,IN0020100015CGS,D,4.770024217791,4.770024217791
2019-11-21,IN0020100015CGS,D,4.401018653637,4.401018653637
2019-11-20,IN0020100015CGS,D,4.566059258067,4.566059258067
2019-11-19,IN0020100015CGS,D,4.746921034231,4.746921034231
2019-11-18,IN0020100015CGS,D,4.862884523964,4.862884523964
2019-11-15,IN0020100015CGS,D,4.363580708354,4.363580708354
2019-11-14,IN0020100015CGS,D,4.662772255277,4.662772255277
2019-11-13,IN0020100015CGS,D,4.938571851691,4.938571851691
2019-11-11,IN0020100015CGS,D,4.945541550326,4.945541550326
2019-11-08,IN0020100015CGS,D,4.737978733439,4.737978733439
2019-11-07,IN0020100015CGS,D,4.770769525855,4.770769525855
2019-11-06,IN0020100015CGS,D,4.322446391639,4.322446391639
2019-11-05,IN0020100015CGS,D,4.349126019889,4.349126019889
2019-11-04,IN0020100015CGS,D,4.879014730274,4.879014730274
2019-11-01,IN0020100015CGS,D,4.705566810179,4.705566810179
2019-10-31,IN0020100015CGS,D,4.579572600802,4.579572600802
2019-10-30,IN0020100015CGS,D,4.854965971115,4.854965971115
2019-10-29,IN0020100015CGS,D,4.906539737838,4.906539737838
2019-10-28,IN0020100015CGS,D,4.753600735717,4.753600735717
2019-10-25,IN0020100015CGS,D,4.493202917369,4.493202917369
2019-10-24,IN0020100015CGS,D,4.547079226055,4.547079226055
2019-10-23,IN0020100015CGS,D,4.505169628873,4.505169628873
2019-10-22,IN0020100015CGS,D,4.541795030728,4.541795030728
2019-10-18,IN0020100015CGS,D,4.963679906172,4.963679906172
2019-10-17,IN0020100015CGS,D,4.911917255863,4.911917255863
2019-10-16,IN0020100015CGS,D,4.621927132004,4.621927132004
2019-10-15,IN0020100015CGS,D,4.430317976444,4.430317976444
2019-10-14,IN0020100015CGS,D,4.419741481533,4.419741481533
2019-10-11,IN0020100015CGS,D,4.472060095610,4.472060095610
2019-10-10,IN0020100015CGS,D,4.854650340866,4.854650340866
2019-10-09,IN0020100015CGS,D,4.491609900696,4.491609900696
2019-10-07,IN0020100015CGS,D,4.488853872742,4.488853872742
2019-10-04,IN0020100015CGS,D,4.930022524409,4.930022524409
2019-10-03,IN0020100015CGS,D,4.502214068149,4.502214068149
2019-10-01,IN0020100015CGS,D,4.530423558541,4.530423558541
2019-09-30,IN0020100015CGS,D,4.894356201955,4.894356201955
2019-09-27,IN0020100015CGS,D,4.365152541512,4.365152541512
2019-09-26,IN0020100015CGS,D,4.637568221647,4.637568221647
2019-09-25,IN0020100015CGS,D,4.443734229671,4.443734229671
2019-09-24,IN0020100015CGS,D,4.559809250875,4.559809250875
2019-09-23,IN0020100015CGS,D,4.873445441275,4.873445441275
2019-09-20,IN0020100015CGS,D,4.425176659895,4.425176659895
2019-09-19,IN0020100015CGS,D,4.622134164370,4.622134164370
2019-09-18,IN0020100015CGS,D,4.428422476187,4.428422476187
2019-09-17,IN0020100015CGS,D,4.926195810973,4.926195810973
2019-09-16,IN0020100015CGS,D,4.308501251870,4.308501251870
2019-09-13,IN0020100015CGS,D,4.566826802405,4.566826802405
2019-09-12,IN0020100015CGS,D,4.473256446397,4.473256446397
2019-09-11,IN0020100015CGS,D,4.486375338759,4.486375338759
2019-09-09,IN0020100015CGS,D,4.828739493398,4.828739493398
2019-09-06,IN0020100015CGS,D,4.469317666906,4.469317666906
2019-09-05,IN0020100015CGS,D,4.682196317755,4.682196317755
2019-09-04,IN0020100015CGS,D,4.645493911411,4.645493911411
2019-09-03,IN0020100015CGS,D,4.943761768487,4.943761768487
2019-08-30,IN0020100015CGS,D,4.520049184847,4.520049184847
2019-08-29,IN0020100015CGS,D,4.483405467248,4.483405467248
2019-08-28,IN0020100015CGS,D,4.921291177255,4.921291177255
2019-08-27,IN0020100015CGS,D,4.339378074375,4.339378074375
2019-08-26,IN0020100015CGS,D,4.881650928713,4.881650928713
2019-08-23,IN0020100015CGS,D,4.892372093364,4.892372093364
2019-08-22,IN0020100015CGS,D,4.574639039271,4.574639039271
2019-08-21,IN0020100015CGS,D,4.914155348021,4.914155348021
2019-08-20,IN0020100015CGS,D,4.858489544469,4.858489544469
2019-08-19,IN0020100015CGS,D,4.667500437363,4.667500437363
2019-08-16,IN0020100015CGS,D,4.846290745150,4.846290745150
2019-08-14,IN0020100015CGS,D,4.622035576792,4.622035576792
2019-08-13,IN0020100015CGS,D,4.790214782585,4.790214782585
2019-08-09,IN0020100015CGS,D,4.924536503616,4.924536503616
2019-08-08,IN0020100015CGS,D,4.763799242228,4.763799242228
2019-08-07,IN0020100015CGS,D,4.391514258858,4.391514258858
2019-08-06,IN0020100015CGS,D,4.641008527190,4.641008527190
2019-08-05,IN0020100015CGS,D,4.954686558380,4.954686558380
2019-08-02,IN0020100015CGS,D,4.937622406614,4.937622406614
2019-08-01,IN0020100015CGS,D,4.501667656990,4.501667656990
2019-07-31,IN0020100015CGS,D,4.570049776370,4.570049776370
2019-07-30,IN0020100015CGS,D,4.332601636130,4.332601636130
2019-07-29,IN0020100015CGS,D,4.786129833212,4.786129833212
2019-07-26,IN0020100015CGS,D,4.311333932241,4.311333932241
2019-07-25,IN0020100015CGS,D,4.666859465460,4.666859465460
2019-07-24,IN0020100015CGS,D,4.629965580138,4.629965580138
2019-07-23,IN0020100015CGS,D,4.859144748509,4.859144748509
2019-07-22,IN0020100015CGS,D,4.510160726645,4.510160726645
2019-07-19,IN0020100015CGS,D,4.693893880189,4.693893880189
2019-07-18,IN0020100015CGS,D,4.703680143106,4.703680143106
2019-07-17,IN0020100015CGS,D,4.633776697584,4.633776697584
2019-07-16,IN0020100015CGS,D,4.574061894783,4.574061894783
2019-07-15,IN0020100015CGS,D,4.377011268792,4.377011268792
2019-07-12,IN0020100015CGS,D,4.894805033126,4.894805033126
2019-07-11,IN0020100015CGS,D,4.436068113850,4.436068113850
2019-07-10,IN0020100015CGS,D,4.625298471837,4.625298471837
2019-07-09,IN0020100015CGS,D,4.882794300603,4.882794300603
2019-07-08,IN0020100015CGS,D,4.373099939172,4.373099939172
2019-07-05,IN0020100015CGS,D,4.374011322970,4.374011322970
2019-07-04,IN0020100015CGS,D,4.606035237445,4.606035237445
2019-07-03,IN0020100015CGS,D,4.889298980609,4.889298980609
2019-07-02,IN0020100015CGS,D,4.719080160793,4.719080160793
2019-07-01,IN0020100015CGS,D,4.373086042060,4.373086042060
2019-06-28,IN0020100015CGS,D,4.409037322521,4.409037322521
2019-06-27,IN0020100015CGS,D,4.558361973241,4.558361973241
2019-06-26,IN0020100015CGS,D,4.598108117438,4.598108117438
2019-06-25,IN0020100015CGS,D,4.373919138939,4.373919138939
2019-06-24,IN0020100015CGS,D,4.810107714005,4.810107714005
2019-06-21,IN0020100015CGS,D,4.396093028684,4.396093028684
2019-06-20,IN0020100015CGS,D,4.618753781703,4.618753781703
2019-06-19,IN0020100015CGS,D,4.418291126889,4.418291126889
2019-06-18,IN0020100015CGS,D,4.406589880690,4.406589880690
2019-06-17,IN0020100015CGS,D,4.330863792185,4.330863792185
2019-06-14,IN0020100015CGS,D,4.479959176656,4.479959176656
2019-06-13,IN0020100015CGS,D,4.569861624760,4.569861624760
2019-06-12,IN0020100015CGS,D,4.841751430610,4.841751430610
2019-06-11,IN0020100015CGS,D,4.483380097658,4.483380097658
2019-06-10,IN0020100015CGS,D,4.824946216570,4.824946216570
2019-06-07,IN0020100015CGS,D,4.614155091935,4.614155091935
2019-06-06,IN0020100015CGS,D,4.854231144326,4.854231144326
2019-06-04,IN0020100015CGS,D,4.865649546735,4.865649546735
2019-06-03,IN0020100015CGS,D,4.726770188489,4.726770188489
2019-05-31,IN0020100015CGS,D,4.762480367968,4.762480367968
2019-05-30,IN0020100015CGS,D,4.721155047174,4.721155047174
2019-05-29,IN0020100015CGS,D,4.720274218868,4.720274218868
2019-05-28,IN0020100015CGS,D,4.507537019244,4.507537019244
2019-05-27,IN0020100015CGS,D,4.755933580948,4.755933580948
2019-05-24,IN0020100015CGS,D,4.345146118497,4.345146118497
2019-05-23,IN0020100015CGS,D,4.743257478222,4.743257478222
2019-05-22,IN0020100015CGS,D,4.918861138164,4.918861138164
2019-05-21,IN0020100015CGS,D,4.678566001169,4.678566001169
2019-05-20,IN0020100015CGS,D,4.920734757477,4.920734757477
2019-05-17,IN0020100015CGS,D,4.940340896108,4.940340896108
2019-05-16,IN0020100015CGS,D,4.574270778536,4.574270778536
2019-05-15,IN0020100015CGS,D,4.869415147385,4.869415147385
2019-05-14,IN0020100015CGS,D,4.474216629319,4.474216629319
2019-05-13,IN0020100015CGS,D,4.865637245226,4.865637245226
2019-05-10,IN0020100015CGS,D,4.721277951459,4.721277951459
2019-05-09,IN0020100015CGS,D,4.542083465548,4.542083465548
2019-05-08,IN0020100015CGS,D,4.921597614979,4.921597614979
2019-05-07,IN0020100015CGS,D,4.822227877120,4.822227877120
2019-05-06,IN0020100015CGS,D,4.466807062893,4.466807062893
2019-05-03,IN0020100015CGS,D,4.960034139644,4.960034139644
2019-05-02,IN0020100015CGS,D,4.882182384259,4.882182384259
2019-04-30,IN0020100015CGS,D,4.599015135260,4.599015135260
2019-04-26,IN0020100015CGS,D,4.386178916008,4.386178916008
2019-04-25,IN0020100015CGS,D,4.806440156931,4.806440156931
2019-04-24,IN0020100015CGS,D,4.335625367863,4.335625367863
2019-04-23,IN0020100015CGS,D,4.608847383067,4.608847383067
2019-04-22,IN0020100015CGS,D,4.954294470566,4.954294470566
2019-04-18,IN0020100015CGS,D,4.516481975872,4.516481975872
2019-04-16,IN0020100015CGS,D,4.807882842067,4.807882842067
2019-04-15,IN0020100015CGS,D,4.472736201626,4.472736201626
2019-04-12,IN0020100015CGS,D,4.922086331366,4.922086331366
2019-04-11,IN0020100015CGS,D,4.726864325160,4.726864325160
2019-04-10,IN0020100015CGS,D,4.788508093772,4.788508093772
2019-04-09,IN0020100015CGS,D,4.876198119039,4.876198119039
2019-04-08,IN0020100015CGS,D,4.590064427686,4.590064427686
2019-04-05,IN0020100015CGS,D,4.478703018325,4.478703018325
2019-04-04,IN0020100015CGS,D,4.616912668527,4.616912668527
2019-04-03,IN0020100015CGS,D,4.364517312924,4.364517312924
2019-04-02,IN0020100015CGS,D,4.892187028852,4.892187028852
2019-04-01,IN0020100015CGS,D,4.884516489362,4.884516489362
2019-03-28,IN0020100015CGS,D,4.406178541884,4.406178541884
2019-03-27,IN0020100015CGS,D,4.438425414269,4.438425414269
2019-03-26,IN0020100015CGS,D,4.644239426424,4.644239426424
2019-03-25,IN0020100015CGS,D,4.910643603221,4.910643603221
2019-03-22,IN0020100015CGS,D,4.841487786696,4.841487786696
2019-03-20,IN0020100015CGS,D,4.890212768867,4.890212768867
2019-03-19,IN0020100015CGS,D,4.839087268545,4.839087268545
2019-03-18,IN0020100015CGS,D,4.620140447242,4.620140447242
2019-03-15,IN0020100015CGS,D,4.351391060530,4.351391060530
2019-03-14,IN0020100015CGS,D,4.691979817146,4.691979817146
2019-03-13,IN0020100015CGS,D,4.524810589766,4.524810589766
2019-03-12,IN0020100015CGS,D,4.955749726137,4.955749726137
2019-03-11,IN0020100015CGS,D,4.559433619337,4.559433619337
2019-03-08,IN0020100015CGS,D,4.385616801134,4.385616801134
2019-03-07,IN0020100015CGS,D,4.808820633406,4.808820633406
2019-03-06,IN0020100015CGS,D,4.617024572861,4.617024572861
2019-03-05,IN0020100015CGS,D,4.334276587526,4.334276587526
2019-03-01,IN0020100015CGS,D,4.319660433888,4.319660433888
2019-02-28,IN0020100015CGS,D,4.361421373736,4.361421373736
