date,curve,tenor,rate,rate_stressed
2019-12-31,INRZeroCurve,1m,4.95,4.95
2019-12-30,INRZeroCurve,1m,4.90,4.90
2019-12-27,INRZeroCurve,1m,4.90,4.90
2019-12-26,INRZeroCurve,1m,4.90,4.90
2019-12-24,INRZeroCurve,1m,4.90,4.90
2019-12-23,INRZeroCurve,1m,4.90,4.90
2019-12-20,INRZeroCurve,1m,4.97,4.97
2019-12-19,INRZeroCurve,1m,4.95,4.95
2019-12-18,INRZeroCurve,1m,4.93,4.93
2019-12-17,INRZeroCurve,1m,4.97,4.97
2019-12-16,INRZeroCurve,1m,4.99,4.99
2019-12-13,INRZeroCurve,1m,4.94,4.94
2019-12-12,INRZeroCurve,1m,4.93,4.93
2019-12-11,INRZeroCurve,1m,4.88,4.88
2019-12-10,INRZeroCurve,1m,4.99,4.99
2019-12-09,INRZeroCurve,1m,4.92,4.92
2019-12-06,INRZeroCurve,1m,5.03,5.03
2019-12-05,INRZeroCurve,1m,4.97,4.97
2019-12-04,INRZeroCurve,1m,4.90,4.90
2019-12-03,INRZeroCurve,1m,4.91,4.91
2019-12-02,INRZeroCurve,1m,4.94,4.94
2019-11-29,INRZeroCurve,1m,4.95,4.95
2019-11-28,INRZeroCurve,1m,4.91,4.91
2019-11-27,INRZeroCurve,1m,4.94,4.94
2019-11-26,INRZeroCurve,1m,4.99,4.99
2019-11-25,INRZeroCurve,1m,5.05,5.05
2019-11-22,INRZeroCurve,1m,5.01,5.01
2019-11-21,INRZeroCurve,1m,5,5
2019-11-20,INRZeroCurve,1m,4.95,4.95
2019-11-19,INRZeroCurve,1m,5.01,5.01
2019-11-18,INRZeroCurve,1m,5.03,5.03
2019-11-15,INRZeroCurve,1m,5,5
2019-11-14,INRZeroCurve,1m,5,5
2019-11-13,INRZeroCurve,1m,4.99,4.99
2019-11-11,INRZeroCurve,1m,5.05,5.05
2019-11-08,INRZeroCurve,1m,5.10,5.10
2019-11-07,INRZeroCurve,1m,4.99,4.99
2019-11-06,INRZeroCurve,1m,4.97,4.97
2019-11-05,INRZeroCurve,1m,4.97,4.97
2019-11-04,INRZeroCurve,1m,4.94,4.94
2019-11-01,INRZeroCurve,1m,4.88,4.88
2019-10-31,INRZeroCurve,1m,4.90,4.90
2019-10-30,INRZeroCurve,1m,4.93,4.93
2019-10-29,INRZeroCurve,1m,4.95,4.95
2019-10-28,INRZeroCurve,1m,4.95,4.95
2019-10-25,INRZeroCurve,1m,4.89,4.89
2019-10-24,INRZeroCurve,1m,4.93,4.93
2019-10-23,INRZeroCurve,1m,4.95,4.95
2019-10-22,INRZeroCurve,1m,4.94,4.94
2019-10-18,INRZeroCurve,1m,4.94,4.94
2019-10-17,INRZeroCurve,1m,4.96,4.96
2019-10-16,INRZeroCurve,1m,4.90,4.90
2019-10-15,INRZeroCurve,1m,4.88,4.88
2019-10-14,INRZeroCurve,1m,4.95,4.95
2019-10-11,INRZeroCurve,1m,5,5
2019-10-10,INRZeroCurve,1m,5.02,5.02
2019-10-09,INRZeroCurve,1m,5.07,5.07
2019-10-07,INRZeroCurve,1m,5.14,5.14
2019-10-04,INRZeroCurve,1m,5.11,5.11
2019-10-03,INRZeroCurve,1m,5.17,5.17
2019-10-01,INRZeroCurve,1m,5.23,5.23
2019-09-30,INRZeroCurve,1m,5.25,5.25
2019-09-27,INRZeroCurve,1m,5.31,5.31
2019-09-26,INRZeroCurve,1m,5.33,5.33
2019-09-25,INRZeroCurve,1m,5.40,5.40
2019-09-24,INRZeroCurve,1m,5.40,5.40
