date,curve,tenor,rate,rate_stressed
31-12-2019,INRZeroCurve,1m,4.95,4.95
30-12-2019,INRZeroCurve,1m,4.9,4.9
27-12-2019,INRZeroCurve,1m,4.9,4.9
26-12-2019,INRZeroCurve,1m,4.9,4.9
24-12-2019,INRZeroCurve,1m,4.9,4.9
23-12-2019,INRZeroCurve,1m,4.9,4.9
20-12-2019,INRZeroCurve,1m,4.97,4.97
19-12-2019,INRZeroCurve,1m,4.95,4.95
18-12-2019,INRZeroCurve,1m,4.93,4.93
17-12-2019,INRZeroCurve,1m,4.97,4.97
16-12-2019,INRZeroCurve,1m,4.99,4.99
13-12-2019,INRZeroCurve,1m,4.94,4.94
12-12-2019,INRZeroCurve,1m,4.93,4.93
11-12-2019,INRZeroCurve,1m,4.88,4.88
10-12-2019,INRZeroCurve,1m,4.99,4.99
09-12-2019,INRZeroCurve,1m,4.92,4.92
06-12-2019,INRZeroCurve,1m,5.03,5.03
05-12-2019,INRZeroCurve,1m,4.97,4.97
04-12-2019,INRZeroCurve,1m,4.9,4.9
03-12-2019,INRZeroCurve,1m,4.91,4.91
02-12-2019,INRZeroCurve,1m,4.94,4.94
29-11-2019,INRZeroCurve,1m,4.95,4.95
28-11-2019,INRZeroCurve,1m,4.91,4.91
27-11-2019,INRZeroCurve,1m,4.94,4.94
26-11-2019,INRZeroCurve,1m,4.99,4.99
25-11-2019,INRZeroCurve,1m,5.05,5.05
22-11-2019,INRZeroCurve,1m,5.01,5.01
21-11-2019,INRZeroCurve,1m,5,5
20-11-2019,INRZeroCurve,1m,4.95,4.95
19-11-2019,INRZeroCurve,1m,5.01,5.01
18-11-2019,INRZeroCurve,1m,5.03,5.03
15-11-2019,INRZeroCurve,1m,5,5
14-11-2019,INRZeroCurve,1m,5,5
13-11-2019,INRZeroCurve,1m,4.99,4.99
11-11-2019,INRZeroCurve,1m,5.05,5.05
08-11-2019,INRZeroCurve,1m,5.1,5.1
07-11-2019,INRZeroCurve,1m,4.99,4.99
06-11-2019,INRZeroCurve,1m,4.97,4.97
05-11-2019,INRZeroCurve,1m,4.97,4.97
04-11-2019,INRZeroCurve,1m,4.94,4.94
