tenor,day_count
on,1
spot,2
1w,7
2w,14
1m,31
2m,60
3m,91
4m,121
5m,152
6m,182
7m,213
8m,244
9m,274
10m,305
11m,335
1yr,366
1.25yr,456
1.50yr,547
1.75yr,639
2.00yr,731
2.25yr,821
2.50yr,912
2.75yr,1004
3.00yr,1096
3.25yr,1186
3.50yr,1277
3.75yr,1369
4.00yr,1461
4.25yr,1552
4.50yr,1643
4.75yr,1735
5.00yr,1827
5.25yr,1917
5.50yr,2008
5.75yr,2100
6yr,2192
6.25yr,2282
6.5yr,2373
6.75yr,2465
7yr,2557
7.25yr,2647
7.5yr,2738
7.75yr,2830
8yr,2922
8.25yr,3013
8.5yr,3104
8.75yr,3196
9yr,3288
9.25yr,3378
9.5yr,3469
9.75yr,3561
10yr,3653
10.25yr,3743
10.5yr,3834
10.75yr,3926
11yr,4018
11.25yr,4108
11.5yr,4199
11.75yr,4291
12yr,4383
12.25yr,4474
12.5yr,4565
12.75yr,4657
13yr,4749
13.25yr,4839
13.5yr,4930
13.75yr,5022
14yr,5114
14.25yr,5204
14.5yr,5295
14.75yr,5387
15yr,5479
15.25yr,5569
15.5yr,5660
15.75yr,5752
16yr,5844
16.25yr,5935
16.5yr,6026
16.75yr,6118
17yr,6210
17.25yr,6300
17.5yr,6391
17.75yr,6483
18yr,6575
18.25yr,6665
18.5yr,6756
18.75yr,6848
19yr,6940
19.25yr,7030
19.5yr,7121
19.75yr,7213
20yr,7305
20.25yr,7396
20.5yr,7487
20.75yr,7579
21yr,7671
21.25yr,7761
21.5yr,7852
21.75yr,7944
22yr,8036
22.25yr,8126
22.5yr,8217
22.75yr,8309
23yr,8401
23.25yr,8491
23.5yr,8582
23.75yr,8674
24yr,8766
24.25yr,8857
24.5yr,8948
24.75yr,9040
25yr,9132
25.25yr,9222
25.5yr,9313
25.75yr,9405
26yr,9497
26.25yr,9587
26.5yr,9678
26.75yr,9770
27yr,9862
27.25yr,9952
27.5yr,10043
27.75yr,10135
28yr,10227
28.25yr,10318
28.5yr,10409
28.75yr,10501
29yr,10593
29.25yr,10683
29.5yr,10774
29.75yr,10866
30yr,10958
30.25yr,11048
30.5yr,11139
30.75yr,11231
31yr,11323
31.25yr,11413
31.5yr,11504
31.75yr,11596
32yr,11688
32.25yr,11779
32.5yr,11870
32.75yr,11962
33yr,12054
33.25yr,12144
33.5yr,12235
33.75yr,12327
34yr,12419
34.25yr,12509
34.5yr,12600
34.75yr,12692
35yr,12784
35.25yr,12874
35.5yr,12965
35.75yr,13057
36yr,13149
36.25yr,13240
36.5yr,13331
36.75yr,13423
37yr,13515
37.25yr,13605
37.5yr,13696
37.75yr,13788
38yr,13880
38.25yr,13970
38.5yr,14061
38.75yr,14153
39yr,14245
39.25yr,14335
39.5yr,14426
39.75yr,14518
40yr,14610
