,id,instrument,instrument_id,k,currency,currency_base,Cashflow,Cashflow_Type,Maturity_Amount,Face_value,curve,current_date,Cash_flow_Dates,holiday,Actual_Cash_flow_date,maturity_date,frequency,residual_maturity_expected,residual_maturity_Actual,lower_tenor,upper_tenor,lower_tenor_val,upper_tenor_val,lower_maturity,upper_maturity,split_curve,accounting_book,accounting_portfolio,mark_up_value,intbasis,key,c_date,m_date_E,m_date_A,lower_tenor_key,upper_tenor_key,lower_rates,upper_rates,Interpolated_rates,spread_rates,YTM,maturity_period_E,maturity_period_A,no_of_days_in_a_year,cashflow_mtm,variable,value,interpolated_curve_rates,spreads_all,env,all_mtm
0,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,0,5.06,5.06,0.0,0,3943.6019170217614
1,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,1,5.0892307692307694,5.0892307692307694,0.0,1,3943.286333321393
2,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,2,5.098461538461539,5.098461538461539,0.0,2,3943.186698793065
3,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,3,5.019230769230769,5.019230769230769,0.0,3,3944.0422621026887
4,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,4,5.045384615384616,5.045384615384616,0.0,4,3943.759751273854
5,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,5,5.086923076923076,5.086923076923076,0.0,5,3943.3112437143045
6,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,6,5.04,5.04,0.0,6,3943.8179078634107
7,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,7,5.079999999999999,5.079999999999999,0.0,7,3943.385979119596
8,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,8,5.053076923076923,5.053076923076923,0.0,8,3943.676677090228
9,CGS001,IN0020100015CGS,16807,1,INR,INR,4000,C,100000,100,INRZeroCurve,20-04-2020,04-08-2020,N,04-08-2020,04-08-2022,2,105,105,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN0020100015CGS_1,2020-04-20,2020-08-03,2020-08-03,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.06,0.0,5.06,105,105,365,3943.6019170217614,9,5.031538461538461,5.031538461538461,0.0,9,3943.90930454638
